Model,country,MAE mediu,RMSE
Ridge,Luxembourg,6.256839773333063,6.261415482657811
Ridge,Malta,0.9884066899373252,1.2726081811562786
Ridge,Moldova,5.579614676278045,6.0769943749253725
Ridge,Montenegro,7.730566609986535,8.86408270365443
Ridge,Netherlands,7.106776081023503,7.181511057280403
Ridge,North Macedonia,15.585847124548234,15.818817337414115
Ridge,Norway,2.6243080532533183,2.9116274249720044
Ridge,Poland,7.918158436124111,7.982913734995663
Ridge,Portugal,2.835159776155899,3.352076864435881
Ridge,Romania,10.603835609636674,10.65521302063956
Ridge,Russian Federation,3.639994006576623,3.968195261361422
Ridge,Serbia,5.348685667749311,6.161607422572099
Ridge,Slovak Republic,2.16813683164402,2.235276234994272
Ridge,Slovenia,3.681196707033584,4.284673284701771
Ridge,Spain,4.851749993146001,4.892653026642069
Ridge,Sweden,1.790186107621261,1.8385513373227722
Ridge,Switzerland,6.1822767983641285,6.201016438219783
Ridge,Turkiye,17.87933383535941,17.987865905660513
Ridge,Ukraine,6.2159609182780855,6.222418713232657
Ridge,United Kingdom,2.7679498504333395,2.9253201723497373
SVR,Albania,5.858563663598183,6.910189787413567
SVR,Austria,0.6297183491419475,0.6489725483749212
SVR,Belarus,1.3157126096630491,1.423050326955572
SVR,Belgium,7.280740930705403,7.462530075467472
SVR,Bosnia and Herzegovina,2.3886071599108787,3.0004936713944037
SVR,Bulgaria,1.7891260060009102,2.346418036142339
SVR,Croatia,5.215096530777515,5.525133581136409
SVR,Cyprus,1.93407771914691,2.286546170116019
SVR,Czechia,1.088737265684682,1.4505565935327902
SVR,Denmark,1.2542229523368575,1.3700768115435802
SVR,Estonia,3.9827379462587515,4.4709541304308855
SVR,Finland,1.5078711782522844,1.8829002678485887
SVR,France,1.4238292328883886,1.6314816836239778
SVR,Germany,0.7044552658484804,0.7560333917447343
SVR,Greece,1.8746743270989186,1.9716985158728515
SVR,Hungary,1.7542835828400172,2.297159996317882
SVR,Iceland,4.570987491168663,5.2843358800878155
SVR,Ireland,3.6912659371477927,4.503858201471734
SVR,Italy,6.5609317665029625,7.454090638581947
SVR,Latvia,3.1855616898110837,3.6908474472758663
SVR,Lithuania,6.62796881446368,6.800469357087784
SVR,Luxembourg,3.757877009659501,4.2895714826989755
SVR,Malta,1.6234180892024341,2.899759769814298
SVR,Moldova,8.987559231430865,9.483546354195937
SVR,Montenegro,3.9333733018010264,4.703116885156368
SVR,Netherlands,4.743619315080011,5.058198250716144
